movie_id,f_rep,percent_profit,vote_average
1372,0.1429,170.88,7.5
1402,0.1667,558.32,7.9
1422,0.0625,322.05,8.1
1429,0.2857,87.07,7.4
1480,0.2727,271.11,7.8
1523,0.4000,800.47,7.5
1541,0.2857,283.51,7.4
1542,0.0769,108.28,7.4
1554,0.6667,NULL,7.5
1578,0.1429,127.78,7.9
1587,0.3750,91.21,7.7
1592,0.4167,342.05,7.7
1594,0.2500,NULL,7.4
1607,0.1429,78.58,7.6
1632,0.0769,230.69,7.6
1633,0.6667,1085.62,7.7
1646,0.3333,196.05,7.7
1677,0.3333,311.83,7.4
1700,0.2500,306.38,7.7
1712,0.1667,648.15,7.5
1726,0.1333,417.98,7.6
1847,0.2500,56.41,7.4
1859,0.4000,166.96,7.7
1883,0.3571,141.68,7.5
1891,0.1176,2991.11,8.4
1892,0.0769,1770.32,8
1904,0.5556,190.87,7.6
1923,0.3846,41.61,7.4
1933,0.5000,1234.98,7.6
1939,0.4286,196.08,7.7
1949,0.1875,130.44,7.5
1954,0.3333,738.93,7.5
1955,0.3333,520.22,8.1
2034,0.1429,233.06,7.4
2056,0.3750,1735.96,7.5
2062,0.1000,415.82,7.6
2108,0.3333,5152.52,7.8
2118,0.1176,360.62,7.8
2134,0.5000,NULL,7.5
2291,0.1667,103.86,7.4
2493,0.3000,192.86,7.7
2501,0.2222,356.72,7.4
2640,0.5000,36.95,7.4
2649,0.0833,218.85,7.6
2666,0.2500,100.74,7.4
2690,1.0000,NULL,7.7
2757,0.3333,172.64,7.4
2898,0.3889,628.36,7.4
3001,0.2500,NULL,7.6
3009,0.5000,NULL,7.7
3034,0.5000,3081.19,7.9
3085,0.2500,NULL,7.5
3086,0.2000,NULL,7.4
3088,0.1667,NULL,7.4
3109,0.2000,NULL,7.4
3110,0.1429,645.16,7.4
3111,0.3333,86.38,7.4
3112,0.5000,NULL,8
3114,0.5000,NULL,7.8
3116,0.1667,1244.03,7.6
3121,0.4615,NULL,7.4
3133,0.1429,NULL,7.7
3175,0.1429,181.82,8
3309,0.4000,388.02,7.7
3482,0.6667,117.24,7.6
3529,0.3333,628.51,7.6
3558,0.6667,120.88,7.6
3580,0.4167,205.49,7.5
3766,0.1250,NULL,7.4
3767,0.2500,NULL,7.7
4133,0.3684,157.14,7.4
4174,0.1667,466.67,7.5
4347,0.5625,430.89,7.6
4348,0.6923,432.67,7.9
4476,0.1176,535.46,7.4
4539,0.0833,NULL,8
4553,0.4000,164.06,7.5
4584,0.4444,841.14,7.4
4638,0.1579,671.45,7.5
4808,0.1667,336.86,7.8
4922,0.5000,222.62,7.5
4951,0.5833,334.24,7.5
4960,0.6429,NULL,7.6
4982,0.0952,266.47,7.6
4995,0.1875,287.34,7.6
5143,0.3750,626.31,7.6
5708,0.2500,NULL,7.6
5915,0.5000,375.03,7.8
6003,0.2000,NULL,7.4
6037,0.4000,NULL,7.4
6075,0.0909,121.72,7.8
6620,0.4000,446.67,7.6
6715,0.5000,NULL,7.5
6844,0.2727,943.85,7.6
6977,0.2222,686.51,7.9
7214,0.2500,255.57,7.4
7452,0.5000,NULL,7.5
7984,0.2222,506.13,7.9
8055,0.7778,353.19,7.4
8321,0.2000,230.23,7.5
8333,0.1111,NULL,7.5
8358,0.4000,477.37,7.6
8587,0.2143,2194.41,8.2
8741,0.0455,188.70,7.4
9008,0.2500,66.99,7.5
9016,0.2222,78.27,7.4
9040,0.1667,993.33,7.6
9277,0.5000,2902.11,8.1
9366,0.1250,119.87,7.5
9377,0.5385,1168.94,7.6
9428,0.1538,340.20,7.5
9444,0.5000,263.78,7.6
9461,0.0769,NULL,7.4
9475,0.2500,432.57,7.6
9479,0.5000,420.19,7.8
9495,0.2222,626.67,7.4
9509,0.4286,186.13,7.4
9516,0.1667,797.14,7.4
